Election, ALP,LP,CP/NP,DLP,DEM,GRN,ON, Others, Total
1949,43.2,22.5, .., .., .., .., ..,34.4,100
1951,49.9,19.3, .., .., .., .., ..,30.8,100
1954,62.7,34.4, .., .., .., .., ..,2.9,100
1955,64.6,35.4, .., .., .., .., .., ..,100
1958,63.4,23.2, .., .., .., .., ..,13.4,100
1961,64.9,35.1, .., .., .., .., .., ..,100
1963,54.9,45.1, .., .., .., .., .., ..,100
1966,51.6,37.9, ..,5, .., .., ..,5.4,100
1969,67.7,26.9, .., .., .., .., ..,5.4,100
1972,52.1,22.8, ..,3.6, .., .., ..,21.5,100
1974,55.6,35.6,3.5, .., .., .., ..,5.3,100
1975,48.3,47.3, .., .., .., .., ..,4.4,100
1977,50.2,41.9, .., ..,7.4, .., ..,0.5,100
1980,54.9,38.3, .., ..,5.6, .., ..,1.3,100
1983,63.9,32, .., .., .., .., ..,4.1,100
1984,53.3,32.2, .., ..,7.6, .., ..,6.9,100
1987,53.9,30.3, ..,..,6.8,.., ..,9,100
1990,44.9,34.8,..,..,14.4,3.8, ..,2.1,100
1993,53.3,34.2,..,..,5.8,1.7, ..,5,100
1996,47.9,40.9,..,..,..,8.7, ..,2.5,100
1998,50.6,30.5,..,..,7.4,4.2,5.1,2.2,100
2001,47,32.4,..,..,8,7.1,2.8,2.8,100
2004,50.3,35.2,..,..,2.4,10.8,..,1.4,100
2007, 51.1,33.2,..,..,1.1,13.2,..,1.4,100
2010,45,34.8,..,..,..,19.2,..,1,100
2013,42.9,34.6,..,..,1,13.4,..,8,100
2016,44.3,34.6,..,..,..,15.1,..,6.1,100
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
