Election, ALP,LP,NAT,CP,CP/NP,UAP,GRN,DEM,DLP,ON,PROT,FT,A-S, Others, Total
1901,..,..,..,..,..,..,..,..,..,..,33.5,65.7,..,0.8,100
1903,15.5,..,..,..,..,..,..,..,..,..,41.4,32.2,..,10.9,100
1906,32.6,..,..,..,..,..,..,..,..,..,17.5,..,49.9,..,100
1910,53.8,46.2,..,..,..,..,..,..,..,..,..,..,..,..,100
1913,48.1,51.6,..,..,..,..,..,..,..,..,..,..,..,0.3,100
1914,52.4,47.6,..,..,..,..,..,..,..,..,..,..,..,..,100
1917,40.1,..,58.9,..,..,..,..,..,..,..,..,..,..,1.1,100
1919,29,..,64,..,..,..,..,..,..,..,..,..,..,7,100
1922,30.4,..,41.7,21.6,..,..,..,..,..,..,..,..,..,6.4,100
1925,41.1,..,53.3,5.6,..,..,..,..,..,..,..,..,..,..,100
1928,19.2,..,59.2,..,..,..,..,..,..,..,..,..,..,21.6,100
1929,43,..,45.4,..,..,..,..,..,..,..,..,..,..,11.5,100
1931,32.8,..,..,..,..,57.6,..,..,..,..,..,..,..,9.5,100
1934,33.6,..,..,1.8,..,46.9,..,..,..,..,..,..,..,17.8,100
1937,50.2,..,..,..,..,45.5,..,..,..,..,..,..,..,4.3,100
1940,47.2,..,..,..,..,51.6,..,..,..,..,..,..,..,1.2,100
1943,49.3,..,..,..,..,41.1,..,..,..,..,..,..,..,9.6,100
1946,50.8,45.4,..,..,..,..,..,..,..,..,..,..,..,3.7,100
1949,46.5,53.5,..,.., ..,.., .., .., .., ..,..,..,.., ..,100
1951,48.2,51.8,..,.., ..,.., .., .., .., ..,..,..,.., ..,100
1954,49.6,50,..,.., ..,.., .., .., .., ..,..,..,..,0.4,100
1955,45.8,49.1,..,.., ..,.., .., ..,3.9, ..,..,..,..,1.3,100
1958,46.8,44.5,..,.., ..,.., .., ..,7.9, ..,..,..,..,0.8,100
1961,53.9,38.6,..,.., ..,.., .., ..,7.5, ..,..,..,.., ..,100
1963,52.3,40.7,..,.., ..,.., .., ..,6.4, ..,..,..,..,0.6,100
1966,51.6,42.2,..,.., ..,.., .., ..,6, ..,..,..,..,0.2,100
1969,52.7,36.2,..,.., ..,.., .., ..,4.3, ..,..,..,..,6.8,100
1972,58.9,34.8,..,.., ..,.., .., ..,4.8, ..,..,..,..,1.4,100
1974,55.1,44.4,..,.., ..,.., .., .., .., ..,..,..,..,0.5,100
1975,43.5,54.1,..,..,1.3,.., .., .., .., ..,..,..,..,1.1,100
1977,42.1,54.6,..,.., ..,.., ..,3.3, .., ..,..,..,.., ..,100
1980,46.1,51.9,..,.., ..,.., ..,1.5, .., ..,..,..,..,0.5,100
1983,40.3,54.9,..,.., ..,.., ..,3.6, .., ..,..,..,..,1.2,100
1984,43.4,51.1,..,.., ..,.., ..,4, .., ..,..,..,..,1.4,100
1987,43,51.1,..,.., ..,..,..,6, .., ..,..,..,..,..,100
1990,39.7,48.6,..,..,..,..,2.2,8.6,.., ..,..,..,..,0.8,100
1993,46.8,42,..,..,..,..,7.9,2.5,.., ..,..,..,..,0.8,100
1996,44.3,44.5,..,..,0.4,..,6.3,4.1,.., ..,..,..,..,0.4,100
1998,48.9,38.2,..,..,..,..,5.6,3.3,..,2.5,..,..,..,1.6,100
2001,47.2,37.1,..,..,..,..,7.8,4.5,..,2.9,..,..,..,0.6,100
2004,44.6,42,..,..,..,..,9.9,..,..,..,..,..,..,..,100
2007, 42.8,38.2,..,..,..,..,13.5,..,..,..,..,..,..,5.5,100
2010, 44.0,33.6,..,..,..,..,16.8,..,..,..,..,..,..,5.6,100
2013,34.8,40.3,..,..,..,..,8.3,..,0.2,..,..,..,..,16.5,100
2016,37.9,35.4,..,..,..,..,10.2,..,0.2,..,..,..,..,16.3,100
